"Source:","/home/oli/tenere/efi/Tuareg_hw/Tuareg.sch"
"Date:","So 25 Aug 2019 00:06:23 CEST"
"Tool:","Eeschema 5.1.2-f72e74a~84~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","200"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","1uF 50V","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C3, C2, C10, C59, C33, C35, C44, C45, C48, C49, C52, C54, C56, C57, C60, C61, C63, ","17","100nF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C4, ","1","22uF 16V","CP","Capacitor_SMD:CP_Elec_5x5.8","Polarized capacitor",""
"C5, ","1","22uF 6V","CP","Capacitor_SMD:CP_Elec_4x5.8","Polarized capacitor",""
"C6, ","1","220uF 50V","CP","Capacitor_SMD:CP_Elec_6.3x7.7","Polarized capacitor",""
"C7, ","1","1uF 6V","CP","Capacitor_SMD:C_0805_2012Metric","Polarized capacitor",""
"C8, ","1","22uF 50V","CP","Capacitor_SMD:CP_Elec_6.3x7.7","Polarized capacitor",""
"C9, C58, C11, C12, C13, C14, C15, C16, C17, C18, C23, C24, C25, C26, C27, C28, C55, ","17","1uF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C19, C20, C32, ","3","0.1uF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C22, ","1","1uF","CP","Capacitor_SMD:C_1206_3216Metric","Polarized capacitor",""
"C29, C30, ","2","3300pF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C31, ","1","4.7uF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C34, C62, ","2","470pF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C36, C40, ","2","0,47uF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C37, C38, C41, C42, C50, ","5","10nF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C39, C43, ","2","20nF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C46, C47, C66, ","3","C","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C51, ","1","4,7uF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C53, ","1","10uF","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor",""
"C64, ","1","5uF","CP","Capacitor_SMD:C_1206_3216Metric","Polarized capacitor",""
"C65, C21, ","2","10uF","CP","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","Polarized capacitor",""
"CON1, ","1","ModICE_48","ModICE_48","boctok_footprints:modICE_48","",""
"D1, ","1","RBO40-40G","RBO40-40G","boctok_footprints:RBO40-40G","Bidirectional dual transient-voltage-suppression diode, center on pin 3",""
"D2, ","1","BAT54","BAT54","Diode_SMD:D_SOT-23_ANK","schottky barrier diode",""
"D3, D22, ","2","D_Zener","D_Zener","Diode_SMD:D_MiniMELF","Zener diode",""
"D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D15, D16, D17, D20, ","15","BAT54S","BAT54S","Package_TO_SOT_SMD:SOT-23","schottky barrier diode",""
"D18, ","1","TPIC8101","TPIC8101","boctok_footprints:TPIC8101","dual knock sensor interface",""
"D19, ","1","D_Zener","D_Zener","Diode_SMD:D_MELF","Zener diode",""
"D21, ","1","BAT54A","BAT54A","Package_TO_SOT_SMD:SOT-23","schottky barrier diode",""
"FB1, FB3, FB2, ","3","Ferrite_Bead","Ferrite_Bead","Inductor_SMD:L_0805_2012Metric","Ferrite bead",""
"J1, ","1","SWD_boctok","SWD_boctok","boctok_footprints:swd_boctok","Cortex Debug Connector, standard ARM Cortex-M SWD and JTAG interface",""
"L1, ","1","SRR1210A-680M","SRR1210A","boctok_footprints:SRR1210A","Inductor",""
"P1, P3, ","2","VNLD5090e","VNLD5090e","boctok_footprints:VNLD5090e","",""
"P2, P4, ","2","FAN1100","FAN1100","boctok_footprints:FAN_1100","ignition IGBT driver",""
"P5, ","1","ISO7421D","ISO7421D","boctok_footprints:ISO7421D","",""
"Q1, Q2, Q4, ","3","BTS3028SDL","BTS3028SDL","boctok_footprints:BTS3028SD","smart low side power switch",""
"Q3, Q5, ","2","ISL9V3040","ISL9V3040","boctok_footprints:ISL9V3040","300mJ, 400V, N-Channel Ignition IGBT",""
"R1, R84, ","2","100","R","Resistor_SMD:R_1210_3225Metric","Resistor",""
"R2, R3, R4, R5, R18, R19, R20, ","7","100K","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R6, R7, R8, R9, R23, R24, R25, R42, R43, R44, R48, R49, R50, R60, R61, R81, ","16","10k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R10, R14, R11, R15, R12, R16, R13, R17, R26, R30, R27, R31, R28, R32, R29, R33, ","16","1500 .1%","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R21, R22, ","2","R","R","Resistor_SMD:R_1206_3216Metric","Resistor",""
"R34, ","1","10k","R","Resistor_SMD:R_1206_3216Metric","Resistor",""
"R35, ","1","27k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R36, ","1","8,2k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R37, ","1","4,3k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R38, ","1","15k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R41, R85, ","2","62k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R45, R46, R47, R51, R52, R53, ","6","100k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R54, R56, R57, R55, ","4","39k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R58, ","1","16k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R59, ","1","1k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R62, R75, ","2","200","R","Resistor_SMD:R_1206_3216Metric","Resistor",""
"R63, R71, R74, R66, R78, ","5","47k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R64, R65, R69, R70, R68, R72, R73, R80, ","8","R","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R67, R79, ","2","5,10k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R76, R77, ","2","R","R","Resistor_SMD:R_1210_3225Metric","Resistor",""
"R82, R83, R39, R40, ","4","4,7k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R86, ","1","330k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R87, ","1","5,1k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"U1, ","1","NCV1117DT","NCV1117DT","boctok_footprints:NCV1117DT","1A Low-Dropout Linear Regulator, automotive",""
"U2, ","1","NCV1117ST","NCV1117ST","boctok_footprints:NCV1117ST","1A Low-Dropout Linear Regulator, automotive",""
"U3, U4, ","2","MCP6004","MCP6004","boctok_footprints:MCP6004","Low-Power, Quad-Operational Amplifiers, SOIC-14",""
"U5, ","1","LM2903","LM2903","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","Low-Power, Low-Offset Voltage, Dual Comparators, DIP-8/SOIC-8/SSOP-8",""
"U6, ","1","STM32F410RBTx","STM32F410RBTx","Package_QFP:LQFP-64_10x10mm_P0.5mm","ARM Cortex-M4 MCU, 128KB flash, 32KB RAM, 100MHz, 1.7-3.6V, 50 GPIO, LQFP-64",""
"U7, ","1","24C64","24C64","boctok_footprints:24C64","64Kb serial FRAM nonvolatile Memory, SOIC-8",""
"Y1, ","1","lfxtal071673","lfxtal071673","boctok_footprints:lfxtal071673","Four pin crystal, GND on pins 2 and 4, small symbol",""
"Y2, ","1","cx5032ga","cx5032ga","boctok_footprints:cx5032","Two pin crystal, small symbol",""
